generation=30, rounds=50	ratio=10;90
strategy1=13 strategy2=5, 30	1.00	0.00
strategy1=13 strategy2=6, 30	0.10	0.90
strategy1=13 strategy2=7, 30	1.00	0.00
strategy1=13 strategy2=8, 30	1.00	0.00
strategy1=13 strategy2=9, 30	0.10	0.90
strategy1=13 strategy2=10, 30	0.10	0.90
strategy1=13 strategy2=11, 30	0.10	0.90
strategy1=13 strategy2=12, 30	0.10	0.90
strategy1=13 strategy2=14, 30	0.10	0.90
strategy1=13 strategy2=15, 30	1.00	0.00
strategy1=13 strategy2=16, 30	0.00	1.00
strategy1=13 strategy2=17, 30	0.00	1.00
strategy1=14 strategy2=0, 30	1.00	0.00
strategy1=14 strategy2=1, 30	0.10	0.90
strategy1=14 strategy2=2, 30	0.10	0.90
strategy1=14 strategy2=3, 30	0.10	0.90
strategy1=14 strategy2=4, 30	0.10	0.90
strategy1=14 strategy2=5, 30	1.00	0.00
strategy1=14 strategy2=6, 30	0.10	0.90
strategy1=14 strategy2=7, 30	1.00	0.00
strategy1=14 strategy2=8, 30	1.00	0.00
strategy1=14 strategy2=9, 30	0.10	0.90
strategy1=14 strategy2=10, 30	0.10	0.90
strategy1=14 strategy2=11, 30	0.10	0.90
strategy1=14 strategy2=12, 30	0.10	0.90
strategy1=14 strategy2=13, 30	0.10	0.90
strategy1=14 strategy2=15, 30	0.99	0.01
strategy1=14 strategy2=16, 30	0.00	1.00
strategy1=14 strategy2=17, 30	0.00	1.00
strategy1=15 strategy2=0, 30	1.00	0.00
strategy1=15 strategy2=1, 30	0.00	1.00
strategy1=15 strategy2=2, 30	1.00	0.00
strategy1=15 strategy2=3, 30	0.00	1.00
strategy1=15 strategy2=4, 30	0.00	1.00
strategy1=15 strategy2=5, 30	1.00	0.00
strategy1=15 strategy2=6, 30	0.00	1.00
strategy1=15 strategy2=7, 30	1.00	0.00
strategy1=15 strategy2=8, 30	1.00	0.00
strategy1=15 strategy2=9, 30	0.00	1.00
strategy1=15 strategy2=10, 30	0.00	1.00
strategy1=15 strategy2=11, 30	0.00	1.00
strategy1=15 strategy2=12, 30	0.00	1.00
strategy1=15 strategy2=13, 30	0.00	1.00
strategy1=15 strategy2=14, 30	0.00	1.00
strategy1=15 strategy2=16, 30	0.00	1.00
strategy1=15 strategy2=17, 30	0.00	1.00
strategy1=16 strategy2=0, 30	1.00	0.00
strategy1=16 strategy2=1, 30	0.00	1.00
strategy1=16 strategy2=2, 30	1.00	0.00
strategy1=16 strategy2=3, 30	0.00	1.00
strategy1=16 strategy2=4, 30	0.00	1.00
strategy1=16 strategy2=5, 30	1.00	0.00
strategy1=16 strategy2=6, 30	0.86	0.14
strategy1=16 strategy2=7, 30	1.00	0.00
strategy1=16 strategy2=8, 30	1.00	0.00
strategy1=16 strategy2=9, 30	0.00	1.00
strategy1=16 strategy2=10, 30	0.00	1.00
strategy1=16 strategy2=11, 30	0.00	1.00
strategy1=16 strategy2=12, 30	0.00	1.00
strategy1=16 strategy2=13, 30	0.00	1.00
strategy1=16 strategy2=14, 30	0.00	1.00
strategy1=16 strategy2=15, 30	0.00	1.00
strategy1=16 strategy2=17, 30	0.00	1.00
strategy1=17 strategy2=0, 30	1.00	0.00
strategy1=17 strategy2=1, 30	0.00	1.00
strategy1=17 strategy2=2, 30	1.00	0.00
strategy1=17 strategy2=3, 30	0.00	1.00
